0	53
1	37
2	36
3	36
4	45
5	36
6	30
7	36
8	37
9	42
10	42
11	36
12	38
13	45
14	40
15	36
16	36
17	36
18	36
19	37
20	47
21	37
22	36
23	36
24	32
25	36
26	45
27	36
28	36
29	36
30	36
31	36
32	27
33	36
34	36
35	45
36	36
37	20
38	36
39	37
40	36
41	36
42	36
43	36
44	36
45	45
46	36
47	36
48	36
49	36
50	36
51	36
52	42
53	42
54	42
55	37
56	42
57	42
58	45
59	37
60	42
61	45
62	36
63	32
64	45
65	32
66	36
67	36
68	36
69	36
70	37
71	36
72	35
73	32
74	36
75	53
76	36
77	36
78	45
79	45
80	2
81	38
82	36
83	36
84	36
85	36
86	36
87	36
88	42
89	36
90	36
91	36
92	42
93	36
94	36
95	36
96	39
97	36
98	39
99	36
100	36
101	38
102	36
103	45
104	36
105	45
106	38
107	32
108	37
109	37
110	36
111	36
112	42
113	36
114	36
115	42
116	32
117	38
118	36
119	36
120	37
121	38
122	36
123	36
124	37
125	36
126	37
127	37
128	9
129	18
130	9
131	9
132	9
133	9
134	32
135	9
136	9
137	9
138	32
139	11
140	9
141	9
142	9
143	9
144	9
145	9
146	27
147	9
148	9
149	9
150	9
151	46
152	9
153	9
154	9
155	9
156	9
157	9
158	9
159	9
160	9
161	9
162	9
163	9
164	9
165	9
166	9
167	9
168	11
169	9
170	9
171	38
172	9
173	9
174	9
175	45
176	37
177	32
178	36
179	36
180	45
181	36
182	22
183	36
184	36
185	36
186	37
187	45
188	36
189	36
190	38
191	36
192	42
193	45
194	27
195	45
196	42
197	36
198	27
199	36
200	37
201	45
202	36
203	36
204	36
205	36
206	23
207	25
208	36
209	27
210	36
211	33
212	36
213	42
214	37
215	36
216	36
217	42
218	36
219	36
220	36
221	37
222	36
223	37
224	45
225	36
226	36
227	42
228	46
229	37
230	45
231	37
232	45
233	37
234	36
235	36
236	36
237	32
238	36
239	36
240	35
241	36
242	36
243	22
244	38
245	36
246	36
247	32
248	37
249	36
250	45
251	45
252	32
253	9
254	36
255	42
256	36
257	42
258	37
259	45
260	36
261	36
262	38
263	36
264	36
265	30
266	36
267	36
268	36
269	36
270	37
271	36
272	36
273	37
274	36
275	42
276	36
277	45
278	45
279	38
280	36
281	36
282	38
283	36
284	37
285	36
286	16
287	36
288	42
289	45
290	36
291	36
292	9
293	9
294	9
295	9
296	9
297	9
298	9
299	9
300	9
301	9
302	9
303	9
304	9
305	9
306	9
307	9
308	9
309	11
310	9
311	9
312	12
313	9
314	9
315	9
316	9
317	9
318	9
319	9
320	9
321	9
322	9
323	9
324	9
325	9
326	36
327	35
328	35
329	36
330	36
331	42
332	36
333	36
334	38
335	36
336	37
337	45
338	36
339	36
340	37
341	36
342	37
343	45
344	36
345	37
346	36
347	42
348	36
349	25
350	36
351	36
352	37
353	36
354	42
